acc,f1,prec,rec,eval_f1,dataset,method,text_backbone,seed,logger_name,rnncell,reverse_grad_weight,dropout_rate,diff_weight,sim_weight,recon_weight,lr,gamma,hidden_size
57.6,52.17,52.78,52.12,0.5289,MIntRec2,misa,bert-base-uncased,1.0,misa_MIntRec2_multi-class_seed-1_2024-03-12-12-48-54,lstm,0.2,0.3,0.3,0.5,0.3,2.9999999999999997e-05,0.5,768.0
58.29,53.32,53.44,53.58,0.5396,MIntRec2,misa,bert-base-uncased,1.0,misa_MIntRec2_multi-class_seed-1_2024-03-12-13-03-25,lstm,0.2,0.3,0.3,0.5,0.1,2e-05,0.5,768.0
58.04,52.49,53.31,52.16,0.5308,MIntRec2,misa,bert-base-uncased,1.0,misa_MIntRec2_multi-class_seed-1_2024-03-12-13-17-39,lstm,0.2,0.3,0.3,0.5,0.1,2.9999999999999997e-05,0.5,768.0
57.7,52.37,52.86,52.3,0.5352,MIntRec2,misa,bert-base-uncased,1.0,misa_MIntRec2_multi-class_seed-1_2024-03-12-13-29-56,lstm,0.2,0.2,0.1,0.1,0.3,2e-05,0.5,768.0
58.44,52.95,54.3,52.36,0.5272,MIntRec2,misa,bert-base-uncased,1.0,misa_MIntRec2_multi-class_seed-1_2024-03-12-13-47-30,lstm,0.2,0.2,0.1,0.1,0.3,2.9999999999999997e-05,0.5,768.0
58.34,53.16,53.52,53.15,0.5324,MIntRec2,misa,bert-base-uncased,1.0,misa_MIntRec2_multi-class_seed-1_2024-03-12-14-02-23,lstm,0.2,0.2,0.1,0.1,0.1,2e-05,0.5,768.0
58.09,52.28,53.9,51.66,0.528,MIntRec2,misa,bert-base-uncased,1.0,misa_MIntRec2_multi-class_seed-1_2024-03-12-14-13-39,lstm,0.2,0.2,0.1,0.1,0.1,2.9999999999999997e-05,0.5,768.0
58.48,53.04,53.73,52.86,0.5333,MIntRec2,misa,bert-base-uncased,1.0,misa_MIntRec2_multi-class_seed-1_2024-03-12-14-24-56,lstm,0.2,0.2,0.1,0.5,0.3,2e-05,0.5,768.0
58.78,53.23,53.9,52.89,0.5294,MIntRec2,misa,bert-base-uncased,1.0,misa_MIntRec2_multi-class_seed-1_2024-03-12-14-36-42,lstm,0.2,0.2,0.1,0.5,0.3,2.9999999999999997e-05,0.5,768.0
58.44,52.99,53.43,52.97,0.5384,MIntRec2,misa,bert-base-uncased,1.0,misa_MIntRec2_multi-class_seed-1_2024-03-12-14-49-04,lstm,0.2,0.2,0.1,0.5,0.1,2e-05,0.5,768.0
58.29,52.3,53.81,51.68,0.5272,MIntRec2,misa,bert-base-uncased,1.0,misa_MIntRec2_multi-class_seed-1_2024-03-12-15-02-49,lstm,0.2,0.2,0.1,0.5,0.1,2.9999999999999997e-05,0.5,768.0
57.21,52.05,53.66,51.66,0.5357,MIntRec2,misa,bert-base-uncased,1.0,misa_MIntRec2_multi-class_seed-1_2024-03-12-15-14-10,lstm,0.2,0.2,0.3,0.1,0.3,2e-05,0.5,768.0
57.65,52.24,53.25,51.89,0.5326,MIntRec2,misa,bert-base-uncased,1.0,misa_MIntRec2_multi-class_seed-1_2024-03-12-15-25-40,lstm,0.2,0.2,0.3,0.1,0.3,2.9999999999999997e-05,0.5,768.0
58.14,52.94,53.53,52.75,0.5404,MIntRec2,misa,bert-base-uncased,1.0,misa_MIntRec2_multi-class_seed-1_2024-03-12-15-38-08,lstm,0.2,0.2,0.3,0.1,0.1,2e-05,0.5,768.0
57.4,51.65,53.36,51.04,0.5232,MIntRec2,misa,bert-base-uncased,1.0,misa_MIntRec2_multi-class_seed-1_2024-03-12-15-56-12,lstm,0.2,0.2,0.3,0.1,0.1,2.9999999999999997e-05,0.5,768.0
57.75,52.54,53.16,52.43,0.5325,MIntRec2,misa,bert-base-uncased,1.0,misa_MIntRec2_multi-class_seed-1_2024-03-12-16-08-41,lstm,0.2,0.2,0.3,0.5,0.3,2e-05,0.5,768.0
57.89,52.05,53.13,51.6,0.5204,MIntRec2,misa,bert-base-uncased,1.0,misa_MIntRec2_multi-class_seed-1_2024-03-12-16-20-32,lstm,0.2,0.2,0.3,0.5,0.3,2.9999999999999997e-05,0.5,768.0
57.8,53.44,54.26,53.29,0.53,MIntRec2,misa,bert-base-uncased,1.0,misa_MIntRec2_multi-class_seed-1_2024-03-12-16-35-48,lstm,0.2,0.2,0.3,0.5,0.1,2e-05,0.5,768.0
