acc,weighted_f1,weighted_prec,f1,prec,rec,auroc,aupr_in,aupr_out,fpr95,eer,der,eval_acc,dataset,ood_dataset,method,ood_detection_method,text_backbone,seed,log_id,dst_feature_dims,nheads,n_levels,attn_dropout,attn_dropout_v,attn_dropout_a,relu_dropout,embed_dropout,res_dropout,output_dropout,text_dropout,conv1d_kernel_size_l,conv1d_kernel_size_v,conv1d_kernel_size_a,lr
56.91,56.11,56.61,50.83,53.31,50.77,50.58,56.85,43.83,94.95,49.46,55.84,,MIntRec2,MIntRec2-OOD,mult,energy,bert-base-uncased,1.0,mult_energy_MIntRec2_multi-class_0_2024-05-01-02-55-59,80.0,4.0,8.0,0.0,0.2,0.2,0.0,0.1,0.0,0.2,0.4,5.0,1.0,1.0,2.9999999999999997e-05
58.58,58.0,57.84,53.62,54.52,53.33,50.85,57.21,44.03,94.88,49.26,55.82,,MIntRec2,MIntRec2-OOD,mult,energy,bert-base-uncased,2.0,mult_energy_MIntRec2_multi-class_0_2024-05-01-02-55-59,80.0,4.0,8.0,0.0,0.2,0.2,0.0,0.1,0.0,0.2,0.4,5.0,1.0,1.0,3e-05
59.81,58.23,58.74,52.11,57.21,52.18,50.85,57.02,43.82,95.01,49.26,56.07,,MIntRec2,MIntRec2-OOD,mult,energy,bert-base-uncased,3.0,mult_energy_MIntRec2_multi-class_0_2024-05-01-02-55-59,80.0,4.0,8.0,0.0,0.2,0.2,0.0,0.1,0.0,0.2,0.4,5.0,1.0,1.0,2.9999999999999997e-05
59.52,58.26,60.15,51.91,59.21,50.36,50.54,57.04,43.91,94.75,49.65,55.76,,MIntRec2,MIntRec2-OOD,mult,energy,bert-base-uncased,4.0,mult_energy_MIntRec2_multi-class_0_2024-05-01-02-55-59,80.0,4.0,8.0,0.0,0.2,0.2,0.0,0.1,0.0,0.2,0.4,5.0,1.0,1.0,3e-05
57.99,57.59,57.61,52.15,52.99,51.76,51.08,57.44,44.33,94.5,49.71,55.66,,MIntRec2,MIntRec2-OOD,mult,maxlogit,bert-base-uncased,0.0,mult_maxlogit_MIntRec2_multi-class_0_2024-05-01-03-00-43,80.0,4.0,8.0,0.0,0.2,0.2,0.0,0.1,0.0,0.2,0.4,5.0,1.0,1.0,2.9999999999999997e-05
56.91,56.11,56.61,50.83,53.31,50.77,50.61,56.87,43.82,94.88,48.94,55.88,,MIntRec2,MIntRec2-OOD,mult,maxlogit,bert-base-uncased,1.0,mult_maxlogit_MIntRec2_multi-class_0_2024-05-01-03-00-43,80.0,4.0,8.0,0.0,0.2,0.2,0.0,0.1,0.0,0.2,0.4,5.0,1.0,1.0,3e-05
58.58,58.0,57.84,53.62,54.52,53.33,50.81,57.19,44.07,95.07,49.46,55.91,,MIntRec2,MIntRec2-OOD,mult,maxlogit,bert-base-uncased,2.0,mult_maxlogit_MIntRec2_multi-class_0_2024-05-01-03-00-43,80.0,4.0,8.0,0.0,0.2,0.2,0.0,0.1,0.0,0.2,0.4,5.0,1.0,1.0,2.9999999999999997e-05
59.81,58.23,58.74,52.11,57.21,52.18,50.85,56.98,43.96,95.07,49.26,55.9,,MIntRec2,MIntRec2-OOD,mult,maxlogit,bert-base-uncased,3.0,mult_maxlogit_MIntRec2_multi-class_0_2024-05-01-03-00-43,80.0,4.0,8.0,0.0,0.2,0.2,0.0,0.1,0.0,0.2,0.4,5.0,1.0,1.0,3e-05
59.52,58.26,60.15,51.91,59.21,50.36,50.53,57.02,44.01,94.88,49.65,55.75,,MIntRec2,MIntRec2-OOD,mult,maxlogit,bert-base-uncased,4.0,mult_maxlogit_MIntRec2_multi-class_0_2024-05-01-03-00-43,80.0,4.0,8.0,0.0,0.2,0.2,0.0,0.1,0.0,0.2,0.4,5.0,1.0,1.0,2.9999999999999997e-05
57.99,57.59,57.61,52.15,52.99,51.76,50.81,57.25,44.23,94.56,49.52,55.67,,MIntRec2,MIntRec2-OOD,mult,msp,bert-base-uncased,0.0,mult_msp_MIntRec2_multi-class_0_2024-05-01-03-05-26,80.0,4.0,8.0,0.0,0.2,0.2,0.0,0.1,0.0,0.2,0.4,5.0,1.0,1.0,3e-05
56.91,56.11,56.61,50.83,53.31,50.77,50.57,56.91,43.83,94.63,49.26,55.63,,MIntRec2,MIntRec2-OOD,mult,msp,bert-base-uncased,1.0,mult_msp_MIntRec2_multi-class_0_2024-05-01-03-05-26,80.0,4.0,8.0,0.0,0.2,0.2,0.0,0.1,0.0,0.2,0.4,5.0,1.0,1.0,2.9999999999999997e-05
