acc,weighted_f1,weighted_prec,f1,prec,rec,auroc,aupr_in,aupr_out,fpr95,eer,der,eval_acc,dataset,ood_dataset,method,ood_detection_method,text_backbone,seed,log_id,beta_shift,dropout_prob,warmup_proportion,lr,weight_decay,scale,aligned_method
58.39,56.82,57.5,50.83,54.42,52.16,50.89,56.98,44.27,94.75,49.33,55.75,0.5886,MIntRec2,MIntRec2-OOD,mag_bert,ma,bert-base-uncased,0.0,mag_bert_ma_MIntRec2_multi-class_0_2024-04-26-08-06-34,0.05,0.5,0.1,2e-05,0.01,,ctc
57.16,55.57,56.78,49.16,54.24,49.58,50.86,56.93,44.08,94.95,49.14,55.89,0.5805,MIntRec2,MIntRec2-OOD,mag_bert,ma,bert-base-uncased,0.0,mag_bert_ma_MIntRec2_multi-class_0_2024-04-26-08-06-34,0.05,0.3,0.1,3e-05,0.01,,ctc
58.68,56.97,57.17,50.05,54.39,50.83,50.98,57.01,44.16,95.07,48.3,55.95,0.5823,MIntRec2,MIntRec2-OOD,mag_bert,ma,bert-base-uncased,0.0,mag_bert_ma_MIntRec2_multi-class_0_2024-04-26-08-06-34,0.05,0.3,0.1,1e-05,0.01,,ctc
59.12,57.95,58.23,52.22,55.5,51.73,50.91,56.97,44.27,94.5,49.14,55.61,0.5895,MIntRec2,MIntRec2-OOD,mag_bert,ma,bert-base-uncased,0.0,mag_bert_ma_MIntRec2_multi-class_0_2024-04-26-08-06-34,0.05,0.3,0.1,2e-05,0.01,,ctc
58.88,57.54,58.04,50.21,54.74,49.8,50.9,56.95,44.27,94.69,49.33,55.69,0.5832,MIntRec2,MIntRec2-OOD,mag_bert,ma,bert-base-uncased,0.0,mag_bert_ma_MIntRec2_multi-class_0_2024-04-26-08-06-34,0.05,0.1,0.1,2.9999999999999997e-05,0.01,,ctc
57.7,56.82,57.15,51.27,54.35,50.94,51.23,57.11,44.61,94.31,48.88,55.45,0.585,MIntRec2,MIntRec2-OOD,mag_bert,ma,bert-base-uncased,0.0,mag_bert_ma_MIntRec2_multi-class_0_2024-04-26-08-06-34,0.05,0.1,0.1,1e-05,0.01,,ctc
57.6,55.73,56.36,47.81,53.4,48.35,51.04,57.11,44.18,95.07,48.69,55.89,0.5714,MIntRec2,MIntRec2-OOD,mag_bert,ma,bert-base-uncased,0.0,mag_bert_ma_MIntRec2_multi-class_0_2024-04-26-08-06-34,0.05,0.1,0.1,2e-05,0.01,,ctc
56.96,55.07,56.07,48.32,53.15,48.5,50.87,56.96,44.13,94.88,49.2,55.77,0.5832,MIntRec2,MIntRec2-OOD,mag_bert,ma,bert-base-uncased,0.0,mag_bert_ma_MIntRec2_multi-class_0_2024-04-26-08-06-34,0.006,0.5,0.1,3e-05,0.01,,ctc
58.34,56.27,56.1,49.33,52.19,50.55,51.03,57.08,44.16,94.69,48.75,55.81,0.585,MIntRec2,MIntRec2-OOD,mag_bert,ma,bert-base-uncased,0.0,mag_bert_ma_MIntRec2_multi-class_0_2024-04-26-08-06-34,0.006,0.5,0.1,1e-05,0.01,,ctc
57.3,55.09,55.34,47.67,51.54,48.22,50.62,56.86,43.83,94.75,49.33,55.91,0.5796,MIntRec2,MIntRec2-OOD,mag_bert,ma,bert-base-uncased,0.0,mag_bert_ma_MIntRec2_multi-class_0_2024-04-26-08-06-34,0.006,0.5,0.1,2e-05,0.01,,ctc
57.94,56.92,57.88,50.92,56.5,49.92,50.89,56.96,44.14,94.75,49.2,55.76,0.5841,MIntRec2,MIntRec2-OOD,mag_bert,ma,bert-base-uncased,0.0,mag_bert_ma_MIntRec2_multi-class_0_2024-04-26-08-06-34,0.006,0.3,0.1,2.9999999999999997e-05,0.01,,ctc
58.39,56.31,55.87,48.96,52.26,49.53,51.04,57.06,44.22,94.88,48.75,55.9,0.5895,MIntRec2,MIntRec2-OOD,mag_bert,ma,bert-base-uncased,0.0,mag_bert_ma_MIntRec2_multi-class_0_2024-04-26-08-06-34,0.006,0.3,0.1,1e-05,0.01,,ctc
57.85,56.73,57.57,51.16,55.55,50.56,50.83,56.96,44.2,94.5,49.14,55.58,0.5895,MIntRec2,MIntRec2-OOD,mag_bert,ma,bert-base-uncased,0.0,mag_bert_ma_MIntRec2_multi-class_0_2024-04-26-08-06-34,0.006,0.3,0.1,2e-05,0.01,,ctc
58.14,56.76,57.83,50.31,56.44,49.22,51.07,57.07,44.39,94.43,49.2,55.73,0.5805,MIntRec2,MIntRec2-OOD,mag_bert,ma,bert-base-uncased,0.0,mag_bert_ma_MIntRec2_multi-class_0_2024-04-26-08-06-34,0.006,0.1,0.1,3e-05,0.01,,ctc
57.35,56.35,56.52,50.91,54.01,50.74,51.17,57.1,44.59,94.24,49.14,55.58,0.5877,MIntRec2,MIntRec2-OOD,mag_bert,ma,bert-base-uncased,0.0,mag_bert_ma_MIntRec2_multi-class_0_2024-04-26-08-06-34,0.006,0.1,0.1,1e-05,0.01,,ctc
58.04,57.05,57.62,51.26,53.89,51.33,51.29,57.19,44.69,94.18,49.14,55.51,0.5732,MIntRec2,MIntRec2-OOD,mag_bert,ma,bert-base-uncased,0.0,mag_bert_ma_MIntRec2_multi-class_0_2024-04-26-08-06-34,0.006,0.1,0.1,2e-05,0.01,,ctc
57.99,57.2,57.96,52.07,54.48,52.08,51.05,57.13,44.18,94.75,49.2,55.7,0.5778,MIntRec2,MIntRec2-OOD,mag_bert,ma,bert-base-uncased,1.0,mag_bert_ma_MIntRec2_multi-class_0_2024-04-26-08-06-34,0.05,0.5,0.1,2.9999999999999997e-05,0.01,,ctc
58.09,56.53,56.08,50.32,52.02,50.76,50.94,57.02,44.12,94.88,48.75,55.87,0.5986,MIntRec2,MIntRec2-OOD,mag_bert,ma,bert-base-uncased,1.0,mag_bert_ma_MIntRec2_multi-class_0_2024-04-26-08-06-34,0.05,0.5,0.1,1e-05,0.01,,ctc
56.42,53.37,51.94,44.61,44.98,45.87,50.48,56.82,43.7,95.07,49.39,55.9,0.5769,MIntRec2,MIntRec2-OOD,mag_bert,ma,bert-base-uncased,1.0,mag_bert_ma_MIntRec2_multi-class_0_2024-04-26-08-06-34,0.05,0.5,0.1,2e-05,0.01,,ctc
57.35,56.51,56.48,51.22,53.16,50.63,50.95,56.96,44.24,94.75,48.88,55.73,0.5732,MIntRec2,MIntRec2-OOD,mag_bert,ma,bert-base-uncased,1.0,mag_bert_ma_MIntRec2_multi-class_0_2024-04-26-08-06-34,0.05,0.3,0.1,3e-05,0.01,,ctc
58.24,56.87,56.55,50.9,53.29,51.04,50.93,56.99,43.98,94.88,49.07,55.8,0.5922,MIntRec2,MIntRec2-OOD,mag_bert,ma,bert-base-uncased,1.0,mag_bert_ma_MIntRec2_multi-class_0_2024-04-26-08-06-34,0.05,0.3,0.1,1e-05,0.01,,ctc
