acc,f1,prec,rec,eval_acc,dataset,method,text_backbone,seed,logger_name,eval_f1,num_attention_heads,attention_probs_dropout_prob,hidden_dropout_prob,num_hidden_layers,dropout,aligned_method,lr,hidden_size,hidden_dims,intermediate_size,max_position_embeddings,d_num_attention_heads,d_attention_probs_dropout_prob,d_hidden_dropout_prob,d_num_hidden_layers,d_max_position_embeddings,m_num_attention_heads,m_attention_probs_dropout_prob,m_hidden_dropout_prob,m_num_hidden_layers,m_max_position_embeddings,patience,factor
fusion_feats = torch.cat((t_a_att , t_v_att , t_att), dim=1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65.39,63.6,65.97,63.87,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-01-07-08-37-42,0.6583,,,,,,,,,,,,,,,,,,,,,,,
.no.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67.42,66.2,68.27,67.01,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-01-07-08-51-32,0.6531,,,,,,,,,,,,,,,,,,,,,,,
67.64,65.57,67.08,65.58,,MIntRec,msz,bert-base-uncased,2.0,msz_MIntRec_multi-class_seed-2_2024-01-07-08-58-18,0.6541,,,,,,,,,,,,,,,,,,,,,,,
67.87,63.34,64.43,64.65,,MIntRec,msz,bert-base-uncased,3.0,msz_MIntRec_multi-class_seed-3_2024-01-07-09-05-22,0.6563,,,,,,,,,,,,,,,,,,,,,,,
66.74,63.09,65.27,65.1,,MIntRec,msz,bert-base-uncased,4.0,msz_MIntRec_multi-class_seed-4_2024-01-07-09-10-43,0.6537,,,,,,,,,,,,,,,,,,,,,,,
66.29,64.19,64.95,65.45,,MIntRec,msz,bert-base-uncased,5.0,msz_MIntRec_multi-class_seed-5_2024-01-07-09-16-02,0.6587,,,,,,,,,,,,,,,,,,,,,,,
ctc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71.01,68.09,70.21,68.36,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-01-07-10-19-44,0.6678,,,,,,,,,,,,,,,,,,,,,,,
66.29,61.56,68.08,63.52,,MIntRec,msz,bert-base-uncased,2.0,msz_MIntRec_multi-class_seed-2_2024-01-07-10-25-54,0.6358,,,,,,,,,,,,,,,,,,,,,,,
66.74,62.59,65.13,63.4,,MIntRec,msz,bert-base-uncased,3.0,msz_MIntRec_multi-class_seed-3_2024-01-07-10-30-53,0.6547,,,,,,,,,,,,,,,,,,,,,,,
69.66,64.06,67.66,65.55,,MIntRec,msz,bert-base-uncased,4.0,msz_MIntRec_multi-class_seed-4_2024-01-07-10-36-07,0.6485,,,,,,,,,,,,,,,,,,,,,,,
68.09,64.55,67.22,65.0,,MIntRec,msz,bert-base-uncased,5.0,msz_MIntRec_multi-class_seed-5_2024-01-07-10-41-59,0.6681,,,,,,,,,,,,,,,,,,,,,,,
avg_pool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70.34,65.15,66.08,66.13,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-01-07-11-26-28,0.6302,,,,,,,,,,,,,,,,,,,,,,,
65.84,63.24,64.06,64.34,,MIntRec,msz,bert-base-uncased,2.0,msz_MIntRec_multi-class_seed-2_2024-01-07-11-34-36,0.6727,,,,,,,,,,,,,,,,,,,,,,,
66.52,61.72,62.88,64.85,,MIntRec,msz,bert-base-uncased,3.0,msz_MIntRec_multi-class_seed-3_2024-01-07-11-44-02,0.6672,,,,,,,,,,,,,,,,,,,,,,,
67.87,63.85,67.25,63.79,,MIntRec,msz,bert-base-uncased,4.0,msz_MIntRec_multi-class_seed-4_2024-01-07-11-51-28,0.6756,,,,,,,,,,,,,,,,,,,,,,,
68.31,66.24,65.69,67.96,,MIntRec,msz,bert-base-uncased,5.0,msz_MIntRec_multi-class_seed-5_2024-01-07-12-00-50,0.6625,,,,,,,,,,,,,,,,,,,,,,,
conv1d。。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67.42,66.2,68.27,67.01,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-01-07-12-22-36,0.6531,,,,,,,,,,,,,,,,,,,,,,,
