F1-known,F1-open,F1,Acc,dataset,method,backbone,known_cls_ratio,labeled_ratio,loss,seed,train_epochs,created_time,lr,safe1,safe2,alpha,alpha_loss,margin,p,loss_weight,supcon_loss_weight,triplet_loss_weight
81.6401,94.3396,81.9658,91.16,oos,ADB,bert,0.25,1.0,CrossEntropyLoss,2,100,2024-09-25-08-37-13,2e-05,0.6,0.6,0,0.5,0.4,2,1,0.5,0.7
80.6367,93.9242,80.9774,90.51,oos,ADB,bert,0.25,1.0,CrossEntropyLoss,2,100,2024-09-25-08-55-06,2e-05,0.6,0.6,0,0.5,0.4,2,1,0.6,0.3
80.565,94.029,80.9103,90.6,oos,ADB,bert,0.25,1.0,CrossEntropyLoss,2,100,2024-09-25-09-16-38,2e-05,0.6,0.6,0,0.5,0.4,2,1,0.6,0.4
81.7094,94.38,82.0343,91.16,oos,ADB,bert,0.25,1.0,CrossEntropyLoss,2,100,2024-09-25-09-37-17,2e-05,0.6,0.6,0,0.5,0.4,2,1,0.6,0.5
82.0133,94.3039,82.3284,91.05,oos,ADB,bert,0.25,1.0,CrossEntropyLoss,2,100,2024-09-25-10-03-21,2e-05,0.6,0.6,0,0.5,0.4,2,1,0.6,0.6
81.7929,94.2984,82.1136,91.11,oos,ADB,bert,0.25,1.0,CrossEntropyLoss,2,100,2024-09-25-10-17-24,2e-05,0.6,0.6,0,0.5,0.4,2,1,0.6,0.7
78.609,92.9714,78.9773,89.09,oos,ADB,bert,0.25,1.0,CrossEntropyLoss,2,100,2024-09-25-10-34-15,2e-05,0.6,0.6,0,0.5,0.4,2,1,0.7,0.3
81.1771,94.1002,81.5085,90.77,oos,ADB,bert,0.25,1.0,CrossEntropyLoss,2,100,2024-09-25-10-51-54,2e-05,0.6,0.6,0,0.5,0.4,2,1,0.7,0.4
82.4678,94.5992,82.7789,91.53,oos,ADB,bert,0.25,1.0,CrossEntropyLoss,2,100,2024-09-25-11-10-55,2e-05,0.6,0.6,0,0.5,0.4,2,1,0.7,0.5
80.1139,93.725,80.4629,90.19,oos,ADB,bert,0.25,1.0,CrossEntropyLoss,2,100,2024-09-25-11-24-31,2e-05,0.6,0.6,0,0.5,0.4,2,1,0.7,0.6
82.0973,94.4741,82.4146,91.32,oos,ADB,bert,0.25,1.0,CrossEntropyLoss,2,100,2024-09-25-11-43-37,2e-05,0.6,0.6,0,0.5,0.4,2,1,0.7,0.7
82.4119,94.5921,82.7242,91.51,oos,ADB,bert,0.25,1.0,CrossEntropyLoss,2,100,2024-09-25-11-57-58,2e-05,0.6,0.6,0,0.5,0.5,2,1,0.3,0.3
79.8604,93.7479,80.2165,90.21,oos,ADB,bert,0.25,1.0,CrossEntropyLoss,2,100,2024-09-25-12-17-04,2e-05,0.6,0.6,0,0.5,0.5,2,1,0.3,0.4
80.7127,93.9377,81.0518,90.54,oos,ADB,bert,0.25,1.0,CrossEntropyLoss,2,100,2024-09-25-12-31-56,2e-05,0.6,0.6,0,0.5,0.5,2,1,0.3,0.5
82.3127,94.738,82.6313,91.72,oos,ADB,bert,0.25,1.0,CrossEntropyLoss,2,100,2024-09-25-12-48-26,2e-05,0.6,0.6,0,0.5,0.5,2,1,0.3,0.6
81.9421,94.4596,82.2631,91.32,oos,ADB,bert,0.25,1.0,CrossEntropyLoss,2,100,2024-09-25-13-07-54,2e-05,0.6,0.6,0,0.5,0.5,2,1,0.3,0.7
80.8025,93.9698,81.1401,90.54,oos,ADB,bert,0.25,1.0,CrossEntropyLoss,2,100,2024-09-25-13-22-50,2e-05,0.6,0.6,0,0.5,0.5,2,1,0.4,0.3
81.21,94.115,81.5409,90.81,oos,ADB,bert,0.25,1.0,CrossEntropyLoss,2,100,2024-09-25-13-41-08,2e-05,0.6,0.6,0,0.5,0.5,2,1,0.4,0.4
80.2914,93.8342,80.6387,90.3,oos,ADB,bert,0.25,1.0,CrossEntropyLoss,2,100,2024-09-25-14-01-51,2e-05,0.6,0.6,0,0.5,0.5,2,1,0.4,0.5
